Sreet name,nearest metro station distance(in km),type of road,crime,nearest police chowki,population density,rape,Kidnapping & Abduction_Total,Acid attack,Assault on Women,Sexual Harassment,use of criminal force to women,Stalking,Other Assault on Women,district
,,,,,,,,,,,,,,
akbar road,1.2,major district road,857,2.5,582320,91,305,212,54,9,26,123,37,central
aruna asaf ali marg,5.1,district road,2005,17.4,2292958,234,719,494,86,57,99,248,68,south west
ashram chowk,5.7,major district road,2008,2.7,2292958,266,683,469,85,34,74,274,123,south west
bahadur shah zafar marg,0.27,major district road,857,2.6,582320,91,305,212,54,9,26,123,37,central
barakhamba road,2.4,major district road,857,0.393,582320,91,305,212,54,9,26,123,37,central
delhi gurgaon expressway,8.2,expressway,0,4.6,2543243,0,0,0,0,0,0,0,0,West
dnd flyway,13,major district road,0,13.3,1674714,0,0,0,0,0,0,0,0,gautam buddh
dr apj abdul kalam road,0.5,major district road,857,0.65,582320,91,305,212,54,9,26,123,37,central
eastern peripheral expressway,90.6,expressway,0,20.1,1674714,0,0,0,0,0,0,0,0,gautam buddh
faridabad-noida-ghaziabad expressway,6.1,expressway,0,4.8,1674714,0,0,0,0,0,0,0,0,gautam buddh
grand trunk road,0.141,major district road,2314,45,2241624,237,1047,492,171,46,47,224,50,north east
iit flyover,0.157,flyover,2762,4.2,2731929,280,627,595,150,39,0,406,665,south
inner ring road,9.2,major district road,2314,18.2,2241624,237,1047,492,171,46,47,224,50,north east
janpath road,1.2,major district road,857,0.7,582320,91,305,212,54,9,26,123,37,central
kashmiri gate,0.7,major district road,857,1.5,582320,91,305,212,54,9,26,123,37,central
lodhi road,3.5,major district road,857,1.1,582320,91,305,212,54,9,26,123,37,central
lok kalyan marg,1.6,major district road,857,2.5,582320,91,305,212,54,9,26,123,37,central
mathura road,3.2,major district road,2762,14.8,2731929,280,627,595,150,39,0,406,665,south
outer ring road,1.1,major district road,1684,4,3656539,165,663,404,109,23,61,208,51,north west
mansingh road,2,district road,857,2.5,582320,91,305,212,54,9,26,123,37,central
motilal nehru road,1.3,district road,857,2,582320,91,305,212,54,9,26,123,37,central
maulana azad road,0.202,district road,857,0.5,582320,91,305,212,54,9,26,123,37,central
krishna menon road,0.472,district road,2005,0.792,2292958,234,719,494,86,57,99,248,68,south west
tughlaq road,0.047,district road,857,0.23,582320,91,305,212,54,9,26,123,37,central
tees january marg,1.2,district road,857,1.4,582320,91,305,212,54,9,26,123,37,central
delhi ring road,2.1,Ring road,0,14.2,0,0,0,0,0,0,0,0,0,everywhere
shahjahan road,2.6,major district road,857,1.7,582320,91,305,212,54,9,26,123,37,central
humayun road,0.55,district road,857,0.4,582320,91,305,212,54,9,26,123,37,central
prithviraj road,1,major district road,857,1.6,582320,91,305,212,54,9,26,123,37,central
mustafa kemal ataturk marg,0.786,major district road,0,40,2731929,0,0,0,0,0,0,0,0,south
safdarjung road,1.6,major district road,857,1.6,582320,91,305,212,54,9,26,123,37,central
national highway 1,197,national highway,2762,600,2731929,280,627,595,150,39,0,406,665,south
national highway 2,600,national highway,2762,600,2731929,280,627,595,150,39,0,406,665,south
national highway 8,600,national highway,2005,600,2292958,234,719,494,86,57,99,248,68,south west
national highway 10,600,national highway,2005,600,2292958,234,719,494,86,57,99,248,68,south west
national highway 24,600,national highway,2005,600,2292958,234,719,494,86,57,99,248,68,south west
nizamuddin bridge,7.9,major district road,2762,6.9,2731929,280,627,595,150,39,0,406,665,south
ito flyover,0.55,flyover,857,2.4,582320,91,305,212,54,9,26,123,37,central
old hanuman mandir/ iron bridge/old delhi xing/ yamuna bazar bridge,0.593,district road,857,5.9,582320,91,305,212,54,9,26,123,37,central
isbt kashmere gate flyover,0.05,flyover,857,1.2,582320,91,305,212,54,9,26,123,37,central
azadpur bridge,1.9,major district road,1684,2.9,3656539,165,663,404,109,23,61,208,51,north west
wazirpur bridge,15,major district road,716,10.8,887978,60,279,180,42,12,16,109,18,north
madhuman chowk underpass,1.4,district road,2122,2.5,2543243,251,848,484,137,64,52,223,63,west
britannia chowk flyover,2.3,flyover,1684,7.2,3656539,165,663,404,109,23,61,208,51,north west
punjabi bagh flyover,3.6,flyover,2122,0.9,2543243,251,848,484,137,64,52,223,63,west
moti nagar flyover,3.5,flyover,1909,2.8,1709346,230,678,446,171,36,91,143,114,east
shivaji place district centre flyover,1.9,flyover,2122,24.8,2543243,251,848,484,137,64,52,223,63,west
mayapuri flyover,0.26,flyover,2122,4,2543243,251,848,484,137,64,52,223,63,west
kirti nagar flyover,0.056,flyover,2122,0.85,2543243,251,848,484,137,64,52,223,63,west
naraina bridge,5.7,district road,2005,5.6,2292958,234,719,494,86,57,99,248,68,south west
dhaula kuan,1.9,district road,2005,5.7,2292958,234,719,494,86,57,99,248,68,south west
